=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.05.02 17:40:07 =~=~=~=~=~=~=~=~=~=~=~=
= RX Location: 3 inches away from the center of the TX (along the Z)
= Tone Frequency: 6Hz
= Baud Rate: 1 S/s
= Bit Rate: 0.5 b/s
= Sampling Frequency: 16Hz
= Encoding: Differential Manchester
=     0: Two state Changes
=     1: One State Change
=     The Two States are TONE and NO_TONE
= Columns(7):
=     sample_num: Chronological Index of Samples
=     x: Reading From the sensor on the X axis
=     y: Reading From the sensor on the Y axis
=     bit_num: Chronological Index of the Bits Sent
=     bit: The Bit Sent, 1 or 0
=     sym_num: Chronological Index of the Symbol
=     sym: The Actual Symbol, TONE(1) or NO_TONE(0)
=~=~=~=~=~=~=~=~=~=~=~==~=~=~=~=~=~=~=~=~=~=~==~=~=~=~=~=~=~=~=~=~=~==~=~=~=~
sample_num,x,y,bit_num,bit,sym_num,sym
0,-42,41,0,0,0,1
1,-147,43,0,0,0,1
2,-148,50,0,0,0,1
3,-40,41,0,0,0,1
4,-45,40,0,0,0,1
5,-39,43,0,0,0,1
6,-148,49,0,0,0,1
7,-148,49,0,0,0,1
8,-146,47,0,0,0,1
9,-45,40,0,0,0,1
10,-48,38,0,0,0,1
11,-139,48,0,0,0,1
12,-149,46,0,0,0,1
13,-150,43,0,0,0,1
14,-50,38,0,0,0,1
15,-50,39,0,0,0,1
16,-52,39,0,0,0,1
17,-148,49,0,0,0,1
18,-147,47,0,0,0,1
19,-48,37,0,0,0,1
20,-50,39,0,0,0,1
21,-47,39,0,0,0,1
22,-143,48,0,0,0,1
23,-147,47,0,0,0,1
24,-145,48,0,0,0,1
25,-44,38,0,0,0,1
26,-47,33,0,0,0,1
27,-66,37,0,0,0,1
28,-148,46,0,0,0,1
29,-144,44,0,0,0,1
30,-50,40,0,0,0,1
31,-48,40,0,0,0,1
32,-47,38,0,0,1,0
33,-49,41,0,0,1,0
34,-48,40,0,0,1,0
35,-49,41,0,0,1,0
36,-49,37,0,0,1,0
37,-45,41,0,0,1,0
38,-48,40,0,0,1,0
39,-47,40,0,0,1,0
40,-47,44,0,0,1,0
41,-50,42,0,0,1,0
42,-48,42,0,0,1,0
43,-48,40,0,0,1,0
44,-47,40,0,0,1,0
45,-43,40,0,0,1,0
46,-44,45,0,0,1,0
47,-47,38,0,0,1,0
48,-42,42,0,0,1,0
49,-45,38,0,0,1,0
50,-43,33,0,0,1,0
51,-47,36,0,0,1,0
52,-43,41,0,0,1,0
53,-46,37,0,0,1,0
54,-44,39,0,0,1,0
55,-41,35,0,0,1,0
56,-46,41,0,0,1,0
57,-46,39,0,0,1,0
58,-46,39,0,0,1,0
59,-41,40,0,0,1,0
60,-44,42,0,0,1,0
61,-40,40,0,0,1,0
62,-43,42,0,0,1,0
63,-43,34,0,0,1,0
64,-42,43,1,1,2,0
65,-48,38,1,1,2,0
66,-47,39,1,1,2,0
67,-47,40,1,1,2,0
68,-48,35,1,1,2,0
69,-48,40,1,1,2,0
70,-46,41,1,1,2,0
71,-46,41,1,1,2,0
72,-44,45,1,1,2,0
73,-42,40,1,1,2,0
74,-48,40,1,1,2,0
75,-46,41,1,1,2,0
76,-47,41,1,1,2,0
77,-43,41,1,1,2,0
78,-48,41,1,1,2,0
79,-46,41,1,1,2,0
80,-48,36,1,1,2,0
81,-44,40,1,1,2,0
82,-41,35,1,1,2,0
83,-45,40,1,1,2,0
84,-48,40,1,1,2,0
85,-44,35,1,1,2,0
86,-37,35,1,1,2,0
87,-44,38,1,1,2,0
88,-44,40,1,1,2,0
89,-46,37,1,1,2,0
90,-43,41,1,1,2,0
91,-38,42,1,1,2,0
92,-44,40,1,1,2,0
93,-33,38,1,1,2,0
94,-44,36,1,1,2,0
95,-48,41,1,1,2,0
96,-145,46,1,1,3,1
97,-147,48,1,1,3,1
98,-146,44,1,1,3,1
99,-48,41,1,1,3,1
100,-46,41,1,1,3,1
101,-48,37,1,1,3,1
102,-146,47,1,1,3,1
103,-146,43,1,1,3,1
104,-47,40,1,1,3,1
105,-49,37,1,1,3,1
106,-44,39,1,1,3,1
107,-145,48,1,1,3,1
108,-149,47,1,1,3,1
109,-148,47,1,1,3,1
110,-48,38,1,1,3,1
111,-42,33,1,1,3,1
112,-145,45,1,1,3,1
113,-144,44,1,1,3,1
114,-146,46,1,1,3,1
115,-43,39,1,1,3,1
116,-37,39,1,1,3,1
117,-40,39,1,1,3,1
118,-144,48,1,1,3,1
119,-144,49,1,1,3,1
120,-39,40,1,1,3,1
121,-39,34,1,1,3,1
122,-38,35,1,1,3,1
123,-148,45,1,1,3,1
124,-150,53,1,1,3,1
125,-147,50,1,1,3,1
126,-43,43,1,1,3,1
127,-43,40,1,1,3,1
128,-137,47,2,1,4,1
129,-146,48,2,1,4,1
130,-147,48,2,1,4,1
131,-45,35,2,1,4,1
132,-48,41,2,1,4,1
133,-43,44,2,1,4,1
134,-146,48,2,1,4,1
135,-150,45,2,1,4,1
136,-44,39,2,1,4,1
137,-46,35,2,1,4,1
138,-46,36,2,1,4,1
139,-141,45,2,1,4,1
140,-143,47,2,1,4,1
141,-147,45,2,1,4,1
142,-47,39,2,1,4,1
143,-44,40,2,1,4,1
144,-46,35,2,1,4,1
145,-150,48,2,1,4,1
146,-149,50,2,1,4,1
147,-45,38,2,1,4,1
148,-43,38,2,1,4,1
149,-43,33,2,1,4,1
150,-145,47,2,1,4,1
151,-147,47,2,1,4,1
152,-147,46,2,1,4,1
153,-46,34,2,1,4,1
154,-46,35,2,1,4,1
155,-145,49,2,1,4,1
156,-145,45,2,1,4,1
157,-146,50,2,1,4,1
158,-43,38,2,1,4,1
159,-44,44,2,1,4,1
160,-40,41,2,1,5,0
161,-43,41,2,1,5,0
162,-44,41,2,1,5,0
163,-44,42,2,1,5,0
164,-45,36,2,1,5,0
165,-42,41,2,1,5,0
166,-43,45,2,1,5,0
167,-39,41,2,1,5,0
168,-44,41,2,1,5,0
169,-43,41,2,1,5,0
170,-48,42,2,1,5,0
171,-44,41,2,1,5,0
172,-43,43,2,1,5,0
173,-44,41,2,1,5,0
174,-43,41,2,1,5,0
175,-42,42,2,1,5,0
176,-44,41,2,1,5,0
177,-47,39,2,1,5,0
178,-48,39,2,1,5,0
179,-48,40,2,1,5,0
180,-48,37,2,1,5,0
181,-41,39,2,1,5,0
182,-46,37,2,1,5,0
183,-49,36,2,1,5,0
184,-42,32,2,1,5,0
185,-49,36,2,1,5,0
186,-43,36,2,1,5,0
187,-49,39,2,1,5,0
188,-38,36,2,1,5,0
189,-47,40,2,1,5,0
190,-45,44,2,1,5,0
191,-45,42,2,1,5,0
192,-146,46,3,0,6,1
193,-148,46,3,0,6,1
194,-53,39,3,0,6,1
195,-47,38,3,0,6,1
196,-47,39,3,0,6,1
197,-152,49,3,0,6,1
198,-146,47,3,0,6,1
199,-149,49,3,0,6,1
200,-51,35,3,0,6,1
201,-50,41,3,0,6,1
202,-48,36,3,0,6,1
203,-147,49,3,0,6,1
204,-148,46,3,0,6,1
205,-46,35,3,0,6,1
206,-45,41,3,0,6,1
207,-44,37,3,0,6,1
208,-144,44,3,0,6,1
209,-144,51,3,0,6,1
210,-147,50,3,0,6,1
211,-46,41,3,0,6,1
212,-52,39,3,0,6,1
213,-136,47,3,0,6,1
214,-145,44,3,0,6,1
215,-141,50,3,0,6,1
216,-43,38,3,0,6,1
217,-45,38,3,0,6,1
218,-45,43,3,0,6,1
219,-145,46,3,0,6,1
220,-148,49,3,0,6,1
221,-54,40,3,0,6,1
222,-49,42,3,0,6,1
223,-48,40,3,0,6,1
224,-45,45,3,0,7,0
225,-47,39,3,0,7,0
226,-46,40,3,0,7,0
227,-48,40,3,0,7,0
228,-47,41,3,0,7,0
229,-47,41,3,0,7,0
230,-47,36,3,0,7,0
231,-45,41,3,0,7,0
232,-50,42,3,0,7,0
233,-43,45,3,0,7,0
234,-46,37,3,0,7,0
235,-46,41,3,0,7,0
236,-47,33,3,0,7,0
237,-46,40,3,0,7,0
238,-42,42,3,0,7,0
239,-47,41,3,0,7,0
240,-45,38,3,0,7,0
241,-47,34,3,0,7,0
