time,a,b,c,d
3265137029,19023,5778,19159,5777
3265199530,19374,5777,19155,5781
3265262029,19481,5783,19061,5777
3265324530,19458,5781,19155,5776
3265387029,19311,5778,19145,5777
3265449530,19096,5778,19061,5778
3265512029,18912,5781,19036,5778
3265574529,19022,5780,19142,5775
3265637030,18999,5779,19108,5779
3265699530,19014,5775,19074,5775
3265762031,18955,5778,19067,5775
3265824531,18898,5773,19059,5777
3265887032,19070,5777,19099,5775
3265949533,19388,5778,19050,5780
3266012033,19563,5778,19048,5775
3266074533,19594,5780,19031,5777
3266137033,19621,5783,19038,5777
3266199534,19535,5784,19018,5779
3266262033,19587,5779,19021,5776
3266324534,19436,5779,19009,5773
3266387033,19388,5779,18999,5775
3266449534,19382,5778,19023,5781
3266512034,19387,5777,19039,5777
3266574534,19280,5775,19114,5775
3266637034,19052,5778,19034,5772
3266699535,19099,5777,19019,5780
3266762034,19047,5779,19054,5777
3266824535,19116,5779,19036,5775
3266887036,19154,5776,19158,5778
3266949535,18934,5781,19210,5775
3267012036,18947,5780,19193,5779
3267074536,19022,5777,19083,5781
3267137037,19005,5777,19103,5775
3267199537,19082,5784,19139,5783
3267262038,19316,5781,19092,5779
3267324537,19508,5778,19159,5776
3267387037,19238,5776,19121,5776
3267449537,19203,5781,19157,5775
3267512038,19213,5777,19270,5776
3267574538,19370,5776,19226,5779
3267637039,19204,5779,19132,5773
3267699538,19314,5777,19155,5772
3267762039,19190,5781,19235,5780
3267824539,19428,5778,19166,5777
3267887040,19352,5776,19051,5775
3267949540,19284,5778,19013,5775
3268012040,19176,5778,19057,5777
3268074541,19217,5777,19139,5775
3268137041,19170,5776,19110,5775
3268199542,19091,5781,19151,5777
3268262041,18974,5779,19102,5783
3268324542,18977,5781,19053,5782
3268387041,18959,5777,19178,5785
3268449541,18924,5779,19207,5777
3268512042,18958,5781,19151,5778
3268574542,19111,5780,19107,5777
3268637042,18933,5784,19116,5778
3268699542,19008,5778,19112,5777
3268762043,19072,5778,19076,5780
3268824544,18894,5779,19054,5781
3268887043,18843,5778,19024,5777
3268949544,19106,5784,19076,5779
3269012045,19117,5782,19020,5778
3269074545,19174,5779,19001,5776
3269137046,19349,5784,19017,5778
3269199545,19109,5784,19018,5778
3269262046,19181,5780,19035,5778
3269324545,19101,5780,19057,5779
3269387046,19216,5777,19054,5780
3269449545,19245,5778,19167,5774
3269512046,18995,5775,19146,5775
3269574546,18986,5776,19140,5773
3269637046,19289,5779,19050,5778
3269699547,19244,5777,19034,5773
3269762048,19177,5779,19158,5779
3269824548,19288,5778,19046,5777
3269887049,19265,5777,18994,5778
3269949550,19111,5773,18982,5778
3270012049,19089,5779,19017,5779
3270074550,19272,5778,18990,5783
3270137049,19323,5777,18955,5775
3270199550,19238,5777,19066,5778
3270262049,19289,5779,19086,5777
3270324550,19395,5783,19108,5773
3270387050,19277,5779,19169,5784
3270449550,19319,5780,19116,5781
3270512050,19290,5780,19144,5774
3270574550,19307,5784,19170,5773
3270637051,19219,5778,19206,5777
3270699551,19381,5782,19186,5782
3270762052,19210,5777,19133,5777
3270824553,19306,5775,19134,5774
3270887054,19256,5777,19140,5778
3270949553,19339,5776,19143,5777
3271012054,19139,5776,19168,5777
3271074555,19104,5777,19158,5773
3271137054,19170,5781,19166,5779
3271199556,19083,5784,19257,5777
3271262056,19063,5780,19174,5777
3271324557,19105,5786,19176,5775
3271387058,19087,5777,19168,5775
3271449557,19030,5779,19175,5777
3271512058,19031,5783,19240,5778
3271574558,19070,5778,19159,5774
3271637057,19173,5779,19087,5780
3271699558,19111,5780,19181,5775
3271762057,19204,5780,19187,5778
3271824558,19291,5775,19219,5781
3271887058,19263,5778,19329,5776
3271949559,19270,5779,19285,5776
3272012058,19235,5777,19061,5777
