time,a,b,c,d
3791889157,19271,5778,19033,5777
3791951657,19179,5778,19040,5779
3792014158,19276,5778,18997,5775
3792076657,19228,5781,19002,5778
3792139158,19285,5785,19044,5781
3792201657,19418,5779,19055,5778
3792264158,19446,5784,19063,5782
3792326657,19384,5784,19072,5779
3792389158,19420,5784,19046,5784
3792451657,19358,5784,19091,5781
3792514157,19291,5781,19121,5777
3792576657,19232,5781,19118,5779
3792639158,19313,5786,19113,5779
3792701659,19168,5781,19265,5776
3792764158,19176,5781,19279,5776
3792826659,19159,5784,19374,5778
3792889159,19012,5787,19391,5780
3792951659,18971,5778,19299,5779
3793014160,19009,5778,19248,5778
3793076661,19024,5779,19176,5777
3793139162,19099,5782,19191,5774
3793201663,19156,5775,19155,5778
3793264163,19102,5779,19101,5775
3793326664,19048,5784,19045,5780
3793389164,18883,5784,19043,5781
3793451664,19040,5785,18966,5781
3793514164,19241,5784,18967,5778
3793576665,19092,5781,19010,5779
3793639164,19065,5779,19040,5777
3793701665,19119,5783,19078,5779
3793764166,18951,5783,19025,5785
3793826666,19221,5778,18992,5779
3793889166,19337,5779,19012,5779
3793951666,19406,5779,18990,5779
3794014167,19642,5780,19031,5778
3794076668,19558,5781,19054,5780
3794139168,19462,5785,19108,5773
3794201669,19516,5783,19093,5781
3794264168,19383,5777,19099,5779
3794326669,19150,5778,19052,5777
3794389168,19188,5776,19123,5772
3794451668,19021,5781,19075,5773
3794514169,19152,5782,19016,5778
3794576668,19197,5780,19015,5776
3794639169,19324,5780,19102,5776
3794701668,19331,5786,19158,5778
3794764169,19262,5780,19179,5780
3794826668,19340,5781,19170,5780
3794889169,19095,5784,19113,5778
3794951669,19320,5781,19097,5779
3795014169,19398,5778,19067,5780
3795076669,19439,5782,19005,5778
3795139169,19458,5782,19068,5775
3795201670,19449,5778,19078,5781
3795264169,19493,5778,19040,5778
3795326670,19479,5780,19005,5777
3795389170,19309,5778,19076,5776
3795451670,19251,5781,19084,5776
3795514170,19113,5783,19073,5775
3795576671,19189,5784,19066,5780
3795639171,19270,5781,19127,5773
3795701670,19155,5780,19083,5774
3795764171,19013,5781,19063,5780
3795826672,19033,5781,19104,5780
3795889173,19173,5778,19067,5776
3795951672,19117,5779,19157,5779
3796014173,19025,5785,19213,5779
3796076672,18791,5785,19106,5781
3796139173,18761,5782,19157,5783
3796201672,18759,5781,19105,5780
3796264173,18775,5781,19110,5779
3796326673,18710,5785,19137,5780
3796389174,18954,5782,19032,5778
3796451674,18868,5779,19093,5775
3796514175,18889,5778,19183,5778
3796576674,19032,5779,19089,5778
