sample_num,x,y,bit_num,bit,sym_num,sym
0,3048,1105,0,0,0,1
1,3085,1100,0,0,0,1
2,3144,1099,0,0,0,1
3,3980,1100,0,0,0,1
4,3933,1100,0,0,0,1
5,3618,1106,0,0,0,1
6,3465,1100,0,0,0,1
7,3626,1100,0,0,0,1
8,3625,1100,0,0,0,1
9,3516,1100,0,0,0,1
10,3399,1108,0,0,0,1
11,3290,1100,0,0,0,1
12,3191,1100,0,0,0,1
13,3367,1099,0,0,0,1
14,3338,1100,0,0,0,1
15,3057,1108,0,0,0,1
16,0,0,0,0,1,0
17,0,0,0,0,1,0
18,0,0,0,0,1,0
19,0,0,0,0,1,0
20,0,0,0,0,1,0
21,0,0,0,0,1,0
22,0,0,0,0,1,0
23,0,0,0,0,1,0
24,0,0,0,0,1,0
25,0,0,0,0,1,0
26,0,0,0,0,1,0
27,0,0,0,0,1,0
28,0,0,0,0,1,0
29,0,0,0,0,1,0
30,0,0,0,0,1,0
31,0,0,0,0,1,0
32,0,0,1,1,0,0
33,0,0,1,1,0,0
34,0,0,1,1,0,0
35,0,0,1,1,0,0
36,0,0,1,1,0,0
37,0,0,1,1,0,0
38,0,0,1,1,0,0
39,0,0,1,1,0,0
40,0,0,1,1,0,0
41,0,0,1,1,0,0
42,0,0,1,1,0,0
43,0,0,1,1,0,0
44,0,0,1,1,0,0
45,0,0,1,1,0,0
46,0,0,1,1,0,0
47,0,0,1,1,0,0
48,3704,1107,1,1,1,1
49,3432,1100,1,1,1,1
50,3463,1099,1,1,1,1
51,3194,1100,1,1,1,1
52,3198,1099,1,1,1,1
53,3198,1103,1,1,1,1
54,3215,1100,1,1,1,1
55,3259,1099,1,1,1,1
56,4036,1100,1,1,1,1
57,4021,1099,1,1,1,1
58,3708,1106,1,1,1,1
59,3567,1100,1,1,1,1
60,3742,1098,1,1,1,1
61,3765,1098,1,1,1,1
62,3669,1099,1,1,1,1
63,3568,1108,1,1,1,1
64,0,0,2,0,0,0
65,0,0,2,0,0,0
66,0,0,2,0,0,0
67,0,0,2,0,0,0
68,0,0,2,0,0,0
69,0,0,2,0,0,0
70,0,0,2,0,0,0
71,0,0,2,0,0,0
72,0,0,2,0,0,0
73,0,0,2,0,0,0
74,0,0,2,0,0,0
75,0,0,2,0,0,0
76,0,0,2,0,0,0
77,0,0,2,0,0,0
78,0,0,2,0,0,0
79,0,0,2,0,0,0
80,2778,1100,2,0,1,1
81,3882,1101,2,0,1,1
82,4033,1098,2,0,1,1
83,4088,1104,2,0,1,1
84,4073,1100,2,0,1,1
85,4095,1100,2,0,1,1
86,3788,1100,2,0,1,1
87,3544,1101,2,0,1,1
88,3047,1108,2,0,1,1
89,2748,1100,2,0,1,1
90,2807,1098,2,0,1,1
91,3233,1100,2,0,1,1
92,3341,1098,2,0,1,1
93,3471,1107,2,0,1,1
94,3627,1100,2,0,1,1
95,3771,1100,2,0,1,1
96,0,0,3,0,0,0
97,0,0,3,0,0,0
98,0,0,3,0,0,0
99,0,0,3,0,0,0
100,0,0,3,0,0,0
101,0,0,3,0,0,0
102,0,0,3,0,0,0
103,0,0,3,0,0,0
104,0,0,3,0,0,0
105,0,0,3,0,0,0
106,0,0,3,0,0,0
107,0,0,3,0,0,0
108,0,0,3,0,0,0
109,0,0,3,0,0,0
110,0,0,3,0,0,0
111,0,0,3,0,0,0
112,2862,1098,3,0,1,1
113,3909,1100,3,0,1,1
114,4034,1098,3,0,1,1
115,4070,1104,3,0,1,1
116,4079,1099,3,0,1,1
117,4091,1100,3,0,1,1
118,3698,1099,3,0,1,1
119,3429,1099,3,0,1,1
120,2924,1104,3,0,1,1
121,2656,1099,3,0,1,1
122,2732,1100,3,0,1,1
123,3256,1099,3,0,1,1
124,3361,1098,3,0,1,1
125,3494,1108,3,0,1,1
126,3645,1099,3,0,1,1
127,3783,1098,3,0,1,1
128,0,0,4,0,0,0
129,0,0,4,0,0,0
130,0,0,4,0,0,0
131,0,0,4,0,0,0
132,0,0,4,0,0,0
133,0,0,4,0,0,0
134,0,0,4,0,0,0
135,0,0,4,0,0,0
136,0,0,4,0,0,0
137,0,0,4,0,0,0
138,0,0,4,0,0,0
139,0,0,4,0,0,0
140,0,0,4,0,0,0
141,0,0,4,0,0,0
142,0,0,4,0,0,0
143,0,0,4,0,0,0
144,3828,1099,4,0,1,1
145,3935,1107,4,0,1,1
146,3998,1100,4,0,1,1
147,4019,1098,4,0,1,1
148,3868,1100,4,0,1,1
149,3607,1100,4,0,1,1
150,3089,1106,4,0,1,1
151,2794,1099,4,0,1,1
152,2839,1099,4,0,1,1
153,3078,1100,4,0,1,1
154,3173,1100,4,0,1,1
155,3280,1105,4,0,1,1
156,3390,1099,4,0,1,1
157,3506,1098,4,0,1,1
158,4095,1100,4,0,1,1
159,4065,1100,4,0,1,1
160,3626,1100,5,1,0,1
161,3625,1100,5,1,0,1
162,3516,1100,5,1,0,1
163,3399,1108,5,1,0,1
164,3290,1100,5,1,0,1
165,3191,1100,5,1,0,1
166,3367,1099,5,1,0,1
167,3338,1100,5,1,0,1
168,3057,1108,5,1,0,1
169,2996,1100,5,1,0,1
170,3284,1098,5,1,0,1
171,4090,1100,5,1,0,1
172,4095,1098,5,1,0,1
173,4090,1104,5,1,0,1
174,4050,1100,5,1,0,1
175,3956,1098,5,1,0,1
176,0,0,5,1,1,0
177,0,0,5,1,1,0
178,0,0,5,1,1,0
179,0,0,5,1,1,0
180,0,0,5,1,1,0
181,0,0,5,1,1,0
182,0,0,5,1,1,0
183,0,0,5,1,1,0
184,0,0,5,1,1,0
